kW AC,Name,Year,Address
3.08,Southeast Austin Community Branch Library ,01/01/2006 12:00:00 AM,"5803 Nuckolls Crossing
Austin, Texas
"
4.62,Far North Health Center,01/01/2008 12:00:00 AM,"928 Blackson Ave.
Austin, Texas
(30.333251, -97.698524)"
6.47,51st Street Water Tower / Fire Vehicle Maintenance Shop,01/01/2010 12:00:00 AM,"2011 51st St E #B
Austin, Texas
(30.301443, -97.692806)"
77,Austin Bergstrom International Airport,01/01/1998 12:00:00 AM,"2716 Spirit of Texas Dr.
Austin, Texas
(30.212715, -97.666144)"
3.08,Dove Springs Recreation Center ,01/01/2006 12:00:00 AM,"5801 Ainez Dr.
Austin, Texas
(30.187717, -97.739513)"
3.08,"Lorraine ""Grandma"" Camacho Activity Center",01/01/2006 12:00:00 AM,"35 Robert T. Martinez St.
Austin, Texas
(30.250098, -97.723303)"
2.31,Fire Station # 27,01/01/2008 12:00:00 AM,"5401 Mc Carty Ln.
Austin, Texas
(30.227919, -97.853159)"
27.72,Austin Convention Center #2  ,01/01/2001 12:00:00 AM,"505 Cesar Chavez
Austin, Texas
(30.264757, -97.749373)"
8.32,Howson Branch Library ,01/01/2000 12:00:00 AM,"2500 Exposition Blvd.
Austin, Texas
(30.298115, -97.767328)"
24.64,Taxi Staging Area Solar Shade  ,01/01/2000 12:00:00 AM,"2815 Spirit of Texas Dr.
Austin, Texas
(30.211399, -97.667599)"
10.01,Town Lake Center ,01/01/1993 12:00:00 AM,"721 Barton Springs Rd.
Austin, Texas
(30.258989, -97.751889)"
7.7,Palmer Events Center  ,01/01/2004 12:00:00 AM,"900 Barton Springs
Austin, Texas
(30.25969, -97.753831)"
18.48,Service Center # 6,01/01/2008 12:00:00 AM,"1190 Hargrave St.
Austin, Texas
(30.275178, -97.707954)"
13.09,Austin Convention Center #1,01/01/1992 12:00:00 AM,"505 Cesar Chavez
Austin, Texas
(30.264757, -97.749373)"
3.08,Austin City Hall,01/01/2005 12:00:00 AM,"301 W. Second St.
Austin, Texas
(30.265075, -97.746955)"
2.77,ARCH Shelter,01/01/2004 12:00:00 AM,"500 East 7th St.
Austin, Texas
(30.267644, -97.737698)"
16.17,Service Center # 5,01/01/2008 12:00:00 AM,"714 E. 8th St.
Austin, Texas
(30.267781, -97.734495)"
9.43,Avery Ranch Fire Station,01/01/2010 12:00:00 AM,"9421 Spectrum Dr.
Austin, Texas
(30.482292, -97.765687)"
14,Animal Shelter,01/01/2011 12:00:00 AM,"7201 Levander Loop
Austin, Texas
(30.251079, -97.691727)"
13.86,Turner Roberts Recreation Center ,01/01/2008 12:00:00 AM,"7201 Colony Loop Dr.
Austin, Texas
(30.302601, -97.637029)"
3.08,Dottie Jordan Recreation Center,01/01/2007 12:00:00 AM,"2803 Loyola Ln.
Austin, Texas
(30.314377, -97.673367)"
2.08,New Austin Youth Hostel  ,01/01/2003 12:00:00 AM,"2200 S. Lakeshore Blvd.
Austin, Texas
(30.244773, -97.723888)"
13.09,Sand Hill Power Plant,01/01/2003 12:00:00 AM,"13005 Fallwell Ln.
Austin, Texas
(30.43716, -97.737644)"
2.31,ECHO Village Senior Housing ,01/01/1991 12:00:00 AM,"2009 Salina St.
Austin, Texas
(30.281154, -97.722542)"
3.08,Dittmar Recreation Center ,01/01/2006 12:00:00 AM,"1009 W. Dittmar
Austin, Texas
(30.185674, -97.801794)"
3.08,Windsor Park Branch Library ,01/01/2006 12:00:00 AM,"5833 Westminster Dr.
Austin, Texas
(30.311258, -97.690559)"
1.54,DittmarSolar Tree,01/01/2010 12:00:00 AM,"1009 W. Dittmar
Austin, Texas
(30.185674, -97.801794)"
3.08,Rosewood Recreation Center ,01/01/2006 12:00:00 AM,"1182 Pleasant Valley Rd.
Austin, Texas
(30.273088, -97.713999)"
3.08,Metz Recreation Center,01/01/2006 12:00:00 AM,"2407 Canterbury St.
Austin, Texas
(30.252716, -97.718138)"
3.08,Millwood Branch Library ,01/01/2006 12:00:00 AM,"12500 Amherst Dr.
Austin, Texas
(30.423153, -97.714651)"
4.62,Far South Health Center,01/01/2008 12:00:00 AM,"405 W. Stassney Ln.
Austin, Texas
(30.207297, -97.779308)"
5.39,Wild Basin Wilderness ,01/01/1999 12:00:00 AM,"805 N. Capital of Texas Hwy
Austin, Texas
(30.310383, -97.826189)"
3.08,Conley-Guerrero Senior Center ,01/01/2006 12:00:00 AM,"808 Nile St.
Austin, Texas
(30.266048, -97.711012)"
3.08,Montopolis Recreation Center,01/01/2006 12:00:00 AM,"1200 Montopolis Dr.
Austin, Texas
(30.231914, -97.699009)"
3.08,North Village Branch Library,11/01/2009 12:00:00 AM,"2505 Steck Ave.
Austin, Texas
(30.362016, -97.72972)"
19.25,Twin Oaks Branch Library,11/01/2010 12:00:00 AM,"1800 S. 5th St.
Austin, Texas
(30.248863, -97.76174)"
104.72,Glen Bell Service Center,11/01/2010 12:00:00 AM,"3907 S. Industrial Ln.
Austin, Texas
(30.214268, -97.740898)"
36.96,Public Safety Training Facility,11/01/2010 12:00:00 AM,"4800 Shaw Lane #J
Austin, Texas
(30.185872, -97.70533)"
26.43,Northwest Recreation Center,11/01/2012 12:00:00 AM,"Austin, Texas
(30.264979, -97.746598)"
31.05,Carver Museum,11/01/2012 12:00:00 AM,"1165 Angelina St.
Austin, Texas
(30.270157, -97.724565)"
50.45,Carver Library,11/01/2012 12:00:00 AM,"1161 Angelina St.
Austin, Texas
(30.26995, -97.724523)"
