Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
22.06.2020,"95335,96","96572,24","96870,44","94868,81","8,26M","-1,28%"
19.06.2020,"96572,1","96137,89","97540,33","95874,3","13,13M","0,46%"
18.06.2020,"96125,24","95547,2","97109,54","94697,53","10,01M","0,60%"
17.06.2020,"95547,29","93531,17","96611,4","93531,17","11,13M","2,16%"
16.06.2020,"93531,17","92386,66","95215,56","92386,66","12,03M","1,25%"
15.06.2020,"92375,52","92780,35","93111,62","90147,92","13,32M","-0,45%"
12.06.2020,"92795,27","94677,14","94703,26","90810,98","12,79M","-2,00%"
10.06.2020,"94685,98","96747,32","97645,85","94664,81","11,74M","-2,13%"
09.06.2020,"96746,55","97644,34","97644,34","95385,81","11,29M","-0,92%"
08.06.2020,"97644,67","94640,43","97693,47","94635,19","11,10M","3,18%"
05.06.2020,"94637,06","93839,16","97355,75","93838,6","13,32M","0,86%"
04.06.2020,"93828,61","92992,63","94132,3","92220,8","11,49M","0,89%"
03.06.2020,"93002,14","91048,1","93710,05","91048,1","15,14M","2,15%"
02.06.2020,"91046,38","88622,49","91046,49","88622,49","11,83M","2,74%"
01.06.2020,"88620,1","87395,15","89019,37","86836,57","9,85M","1,39%"
29.05.2020,"87402,59","86951,32","87410,03","85384,29","16,55M","0,52%"
28.05.2020,"86949,09","87946,1","88090,67","86766,92","10,12M","-1,13%"
27.05.2020,"87946,25","85467,5","87946,25","85467,5","11,21M","2,90%"
26.05.2020,"85468,91","85667,5","87332,53","85395,71","12,03M","-0,23%"
25.05.2020,"85663,48","82197,76","85875,6","82193,33","8,76M","4,25%"
22.05.2020,"82173,21","83027,09","83027,09","81668,8","9,28M","-1,03%"
21.05.2020,"83027,09","81319,73","83308,96","81317,11","11,40M","2,10%"
20.05.2020,"81319,45","80746,81","82290,49","80739,61","9,52M","0,71%"
19.05.2020,"80742,35","81196,69","82174,55","80647,02","10,74M","-0,56%"
18.05.2020,"81194,29","77575,71","81420,37","77571,39","11,53M","4,69%"
15.05.2020,"77556,62","79010,59","79538,23","77426,1","11,72M","-1,84%"
14.05.2020,"79010,81","77770,48","79010,81","75696,95","13,82M","1,59%"
13.05.2020,"77772,2","77876,88","78911,28","77151,98","11,58M","-0,13%"
12.05.2020,"77871,95","79064,6","80344,03","77871,95","10,25M","-1,51%"
11.05.2020,"79064,6","80263,42","80722,75","78993,75","9,78M","-1,49%"
08.05.2020,"80263,35","78151,87","80556,62","78151,87","10,73M","2,75%"
07.05.2020,"78118,57","79072,28","80061,19","78061,44","13,81M","-1,20%"
06.05.2020,"79063,68","79472,78","79996,04","78055,82","9,78M","-0,51%"
05.05.2020,"79470,78","78887,12","81065,9","78886,34","9,15M","0,75%"
04.05.2020,"78876,22","80501,17","80501,65","77640,22","8,59M","-2,02%"
30.04.2020,"80505,89","83169,34","83169,34","80168,06","11,80M","-3,20%"
29.04.2020,"83170,8","81312,89","83598,01","81312,89","11,72M","2,29%"
28.04.2020,"81312,23","78243,32","81427,32","78243,32","12,94M","3,93%"
27.04.2020,"78238,6","75334,28","78562,71","75326,58","10,66M","3,86%"
24.04.2020,"75330,61","79666,62","79666,62","72040,82","16,53M","-5,45%"
23.04.2020,"79673,3","80690,35","81933,5","78621,92","10,82M","-1,26%"
22.04.2020,"80687,15","78972,83","81183,73","78972,76","9,85M","2,17%"
20.04.2020,"78972,76","78988,64","80105,99","76942,89","8,87M","-0,02%"
17.04.2020,"78990,29","77817,46","79846,43","77754,45","8,32M","1,51%"
16.04.2020,"77811,85","78836,72","80167,22","77452,36","9,03M","-1,29%"
15.04.2020,"78831,46","79911,33","80034,78","77545,67","9,76M","-1,36%"
14.04.2020,"79918,36","78847,67","81667,81","78847,67","8,59M","1,37%"
13.04.2020,"78835,82","77681,94","78835,82","76405,36","7,65M","1,49%"
09.04.2020,"77681,94","78639,74","80427,6","77456,86","10,75M","-1,20%"
08.04.2020,"78624,62","76334,79","79058,13","76115,19","10,21M","2,97%"
07.04.2020,"76358,09","74078,01","79855,48","74078,01","11,29M","3,08%"
06.04.2020,"74072,98","69555,61","75259,7","69555,61","9,69M","6,52%"
03.04.2020,"69537,56","72241,09","72241,09","67802,47","10,41M","-3,76%"
02.04.2020,"72253,46","70968,53",73861,"70956,84","10,54M","1,81%"
01.04.2020,"70966,7","73010,78","73010,78","69568,56","10,09M","-2,81%"
31.03.2020,"73019,76","74629,42","75511,03","72385,14","11,14M","-2,17%"
30.03.2020,"74639,48","73430,65","75429,74","73184,22","9,03M","1,65%"
27.03.2020,"73428,78","77707,88","77707,88","73057,12","10,30M","-5,51%"
